id,img_filename,img_path,meme_text,gold_sentiment,vit_p_neg,vit_p_neu,vit_p_pos,mmh_p_neg,mmh_p_neu,mmh_p_pos,mmf_p_neg,mmf_p_neu,mmf_p_pos,mm_top1,mm_p1,mm_top2,mm_p2,mm_top3,mm_p3,text_rationale,neighbor_id_1,neighbor_id_2
2488,image_2489.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_2489.jpg,ONE DOES NOT SIMPLY COMPARE HARRY POTTER TO LOTR,0,0.9410334,0.03272458,0.02624198,0.62785554,0.27016336,0.10198109,0.621016,0.2969038,0.08208021,negative,0.621016,neutral,0.2969038,positive,0.08208021,"keywords: one, does, not, simply, compare, harry",,
5133,image_5134.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_5134.jpg,I DON'T ALWAYS MAKE LISTS  BUT WHEN I DO THEY ARE THE BEST,2,0.59540665,0.25177798,0.15281536,0.19462374,0.38075438,0.42462182,0.17049956,0.43525818,0.3942423,neutral,0.43525818,positive,0.3942423,negative,0.17049956,"keywords: don't, always, make, lists, but, when",,
4160,image_4161.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_4161.jpg,SOME YEARS AFTER GLOBAL WARMING ROSE?,2,0.74337447,0.050233282,0.20639224,0.48820558,0.41098565,0.100808814,0.4841723,0.44764513,0.06818256,negative,0.4841723,neutral,0.44764513,positive,0.06818256,"keywords: some, years, after, global, warming, rose",,
4591,image_4592.png,/content/drive/MyDrive/CSE594: Assignment 2/images/image_4592.png,GOES ON FIRST VOYAGE DIES memecrunch.com,0,0.037969,0.7806515,0.18137944,0.4964162,0.36667773,0.13690609,0.49065208,0.3969127,0.11243522,negative,0.49065208,neutral,0.3969127,positive,0.11243522,"keywords: goes, first, voyage, dies, memecrunch, com",,
6186,image_6187.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_6187.jpg,me in January You know what? I am gonna be happy this year. I am gonna make myself happy. nilanjana_ghosh me in March It's so exhaustina. waiting for death,2,0.12639369,0.60835165,0.26525474,0.44922566,0.44845903,0.10231531,0.3896401,0.51367456,0.09668532,neutral,0.51367456,negative,0.3896401,positive,0.09668532,"keywords: january, you, know, what, gonna, happy",,
1280,image_1281.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_1281.jpg,All my friends are dead. Avery Monsen and Jory John,1,0.016537495,0.7560313,0.22743124,0.24482691,0.66369724,0.09147593,0.19094574,0.7356444,0.07340992,neutral,0.7356444,negative,0.19094574,positive,0.07340992,"keywords: all, friends, are, dead, avery, monsen",,
1527,image_1528.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_1528.jpg,ISOLD ALL YOUR GAMES IMALL YOU NEED BITCH PLEASE memecenter.com Manetenlerie,1,0.060712356,0.7998852,0.13940242,0.20845579,0.6901378,0.10140634,0.20317803,0.6934377,0.10338428,neutral,0.6934377,negative,0.20317803,positive,0.10338428,"keywords: isold, all, your, games, imall, you",,
6646,image_6647.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_6647.jpg,Are you a degree from Yale? Cos I want you! HAPPY VALENTINES DAY,1,0.007750218,0.040183604,0.9520661,0.22546001,0.6928078,0.08173215,0.18768734,0.7442357,0.06807705,neutral,0.7442357,negative,0.18768734,positive,0.06807705,"keywords: are, you, degree, from, yale, cos",,
5431,image_5432.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_5432.jpg,I TOLD MYSELF I'D BE PRODUCTIVE TODAY THE FACT YOU'RE READING THIS RIGHT NOW DETERMINED THAT WAS ALTE,2,0.95832306,0.0019213622,0.039755702,0.20556046,0.6816069,0.11283271,0.15834962,0.74785805,0.09379233,neutral,0.74785805,negative,0.15834962,positive,0.09379233,"keywords: told, myself, i'd, productive, today, the",,
4446,image_4447.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_4447.jpg,mr beans as a baby U-G-L-Y memecenter.com MemeCenter,0,0.33399767,0.14043617,0.5255661,0.6519063,0.22452185,0.12357179,0.68745154,0.17125379,0.14129463,negative,0.68745154,neutral,0.17125379,positive,0.14129463,"keywords: beans, baby, memecenter, com",,
6664,image_6665.png,/content/drive/MyDrive/CSE594: Assignment 2/images/image_6665.png,I AM NOT A COFFEE ADDICT I'M JUST A LITTLE OVER ATTACHED TO IT THAT'S ALL. Coffee memions.com,1,0.0007700077,0.9207753,0.07845474,0.67546093,0.23394704,0.09059209,0.67365843,0.2267728,0.09956876,negative,0.67365843,neutral,0.2267728,positive,0.09956876,"keywords: not, coffee, addict, i'm, just, little",,
6442,image_6443.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_6443.jpg,HAPPY FRIDAY! WAIT  SORRY  IT'S MONDAY,0,0.018491209,0.98024964,0.0012591173,0.20386045,0.7496464,0.046493143,0.19215174,0.7714213,0.036426973,neutral,0.7714213,negative,0.19215174,positive,0.036426973,"keywords: happy, friday, wait, sorry, it's, monday",,
6486,image_6487.png,/content/drive/MyDrive/CSE594: Assignment 2/images/image_6487.png,TECHNOLOGY Elon Musk Offers To Buy And Then Revive Adolf Hitler The model SS is gonna be great!,2,0.00029114692,0.97731405,0.022394853,0.16022335,0.045879144,0.79389757,0.15872006,0.044572625,0.79670733,positive,0.79670733,negative,0.15872006,neutral,0.044572625,"keywords: technology, elon, musk, offers, buy, and",,
